Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products),Cuisine,Calories
Vegetable Fried Rice,Onion,Carrot,Cabbage,Garlic,Rice,Black Pepper,Cloves,Garam Masala,Turmeric,None,None,Chinese,202
Vegetable Corn Sandwich,Potato,Tomato,Cabbage,Sweet corn,None,Red Chilli,Black Pepper,None,Cumin,White Bread,Butter,Indian,279
Vegetable Curd Sandwich,Cucumber,Onion,Capsicum,Capsicum,None,Black Pepper,Oregano,None,None,White Bread,Curd,Indian,285
Vinegret (Russian Salad),Beetroot,Potato,Carrot,Pickles,None,None,None,None,None,None,None,Russian,86
White sauce pasta,Capsicum,Garlic,Sweet corn,Onion,White flour(Maida),Black Pepper,Oregano,Paprika,None,None,Milk,Italian,339
Medu Vada,Onion,Ginger,Curry leaves,None,Gram flour(Besan),Black Pepper,Red Chilli,Fennel seeds,None,None,None,South Indian,76
Italian Potato Salad,Potato,Onion,None,None,None,Parsley,Oregano,Black Pepper,None,None,Cheese,Italian,168
Garlic Bread,Garlic,None,None,None,None,Parsley,None,None,None,Baguette,Butter,Continental,342
Spring Green Risotto,Spinach,Peas,Onion,Mushrooms,Rice,Garlic Cloves,None,None,None,None,Cheese,American,105
Marinated Tomatoes,Tomato,Onion,None,None,None,Garlic Cloves,Black Pepper,Parsley,Basil,None,None,American,35
Italian Cheese Loaf,Tomato,Olives,None,None,None,Oregano,Basil,None,None,Baguette,Cheese,Italian,536
Italian Zucchini Casserole,Zucchini,Tomato,Onion,None,None,Black Pepper,Oregano,Garlic Cloves,Basil,None,Cheese,Italian,267
Texas-Style Spanish Rice,Onion,Tomato,Green chilli,Garlic,Rice,Turmeric,Cumin,None,None,None,None,American,166
German Cucumber Salad,Cucumber,Tomato,Onion,None,None,Mustard,Black Pepper,Parsley,None,None,Sour cream,German,76
Spinach Quesadillas,Spinach,Onion,Tomato,Garlic,White flour(Maida),Cumin,None,None,None,None,Cheese,Mexican,281
Pumpkin Stir Fry Sabzi,Pumpkin,Fenugreek,Coriander,None,None,Cumin,Red Chilli,Mustard,Turmeric,None,Ghee,Indian,162.5
Tomato Soup,Tomato,Onion,Celery,None,None,Black Pepper,Oregano,Basil,None,None,None,Continental,209
Garlic Parmesan Grilled Eggplant (Brinjal),Brinjal,Garlic,None,None,None,Black Pepper,Oregano,None,None,None,Cheese,Italian,191
Sauteed green beans,Beans,Onion,Garlic,None,None,Parsley,Black Pepper,None,None,None,Butter,Continental,120
Roasted Garlic Butter Mushrooms ,Mushrooms,Garlic,None,None,None,Basil,Parsley,None,None,None,Butter,American,169.5
Cilantro Lime Rice,Cilantro(Coriander leaves),Garlic,Onion,Lemon juice,Rice,None,None,None,None,None,Butter,Mexican,133
Aloo Beans Sabzi,Beans,Potato,Coriander,None,None,Turmeric,Asafoetida,Garam Masala,Cumin,None,None,Indian,180
Crispy Baked Parmesan Garlic Fries,Garlic,Potato,None,None,None,Parsley,Black Pepper,None,None,None,Cheese,Continental,270
Raita,Cucumber,Mint,Onion,None,None,Black Pepper,Cumin,None,None,None,Curd,Indian,95.4
Sindhi Koki,Green chilli,Coriander,Onion,None,Whole wheat flour(Atta),Coriander seeds,Cumin,None,None,None,None,Sindhi,297
Chilli Cheese Toast,Green chilli,Ginger,None,None,None,Black Pepper,None,None,None,Whole Wheat Bread,Cheese,Indian,135
Masoor Dal,Tomato,Green chilli,None,None,Masoor dal,Cumin,Asafoetida,Red Chilli,Turmeric,None,Ghee,Indian,85
Brinjal Chutney,Brinjal,Coriander,Tomato,Ginger,None,Garlic Cloves,Red Chilli,Onion,None,None,None,Andhra,15
Vegetable Borscht Soup,Beetroot,Potato,Celery,Kidney beans(Rajma),None,Garlic Cloves,Onion,Parsley,Basil,None,None,Russian,160
Split Peas Soup,Peas,Onion,Celery,Carrot,None,None,None,None,None,None,None,Continental,158
Pumpkin Soup,Pumpkin,Onion,Garlic,None,None,Cumin,Red Chilli,None,None,None,None,Continental,34
Cheddar Broccoli Potato Soup,Broccoli,Potato,Carrot,Celery,White flour(Maida),Thyme,Onion,Garlic Cloves,None,None,Cheese,American,276
Lauki Chana Dal,Bottle Gourd,Tomato,Ginger,Coriander,Chana dal,Red Chilli,Onion,Garlic Cloves,Asafoetida,None,None,North Indian,120
Spinach Stuffed Sweet Potatoes,Sweet potato,Spinach,None,None,None,Black Pepper,Garlic Cloves,None,None,None,None,Continental,275
Stuffed Portobello Mushrooms with Spinach and Feta,Mushrooms,Spinach,Garlic,None,None,Black Pepper,Garlic Cloves,None,None,None,Cheese,Continental,418
Lemon and Garlic Broccoli,Broccoli,Garlic,Lemon juice,None,None,None,None,None,None,None,None,American,49
Cabbage salad with corn,Cabbage,Cucumber,Sweet corn,None,None,Dill,Black Pepper,None,None,None,None,American,173
Aloo Oats Pattis,Potato,Fenugreek,Cilantro(Coriander leaves),None,Oats,Garam Masala,Red Chilli,None,None,None,None,Indian,175
Parmesan Zucchini and Corn,Zucchini,Sweet corn,Cilantro(Coriander leaves),Lemon juice,None,Black Pepper,Garlic Cloves,Oregano,Basil,None,Cheese,Continental,143
Chilli Roasted Zucchini,Zucchini,Garlic,None,None,None,Red Chilli,Black Pepper,None,None,None,None,American,75
Garlic Parmesan Roasted Sweet Potato,Sweet potato,Garlic,None,None,None,Thyme,None,None,None,None,Cheese,American,152
Lemon Coriander Soup,Cilantro(Coriander leaves),Lemon juice,Carrot,Ginger,None,Black Pepper,Garlic Cloves,Onion,Green Chilli,None,None,Indian,67
Roasted Red Pepper Cauliflower Soup,Cauliflower,Capsicum,Onion,None,None,Garlic Cloves,Black Pepper,Paprika,Thyme,None,None,American,68.1
Kadai Paneer,Tomato,Capsicum,Cilantro(Coriander leaves),Ginger,None,Onion,Garlic Cloves,Garam Masala,Red Chilli,None,Paneer(Cottage cheese),Indian,255
Paneer Cutlet,Potato,Sweet corn,Coriander,Ginger,Gram flour(Besan),Red Chilli,Cumin,Onion,Garam Masala,None,Paneer(Cottage cheese),North Indian,199
Pan fried baby corn,Baby corn,Cilantro(Coriander leaves),Ginger,Garlic,Corn flour,Red Chilli,Turmeric,Cumin,None,None,Curd,Indian,184
Paneer Paratha,Cilantro(Coriander leaves),Green chilli,None,None,Whole wheat flour(Atta),Cumin,Red Chilli,Garam Masala,None,None,Paneer(Cottage cheese),Punjabi,320
Methi Paratha,Fenugreek,Garlic,Ginger,None,Whole wheat flour(Atta),Red Chilli,Cumin,Oregano,None,None,None,Punjabi,91
Methi Sabzi,Fenugreek,Potato,Carrot,Lemon juice,None,Turmeric,Garam Masala,Red Chilli,Coriander,None,None,North Indian ,244
Cluster Beans(Gavar) Sabzi,Cluster Beans(Gavar),Potato,Carrot,Lemon juice,None,Turmeric,Garam Masala,Coriander,Red Chilli,None,None,Indian,110
Karela (Bitter Gourd) Sabzi,Bitter Gourd,Tomato,Ginger,Garlic,None,Turmeric,Garam Masala,Red Chilli,Coriander,None,None,Indian,106
Colocasia(Arbi) and Paneer Sabzi,Colocasia,Cilantro(Coriander leaves),Lemon juice,None,Gram flour(Besan),Turmeric,Garam Masala,Red Chilli,Coriander,None,Paneer(Cottage cheese),Indian,246
Colocasia(Arbi) Curry,Colocasia,Tomato,Ginger,Garlic,None,Turmeric,Asafoetida,Garam Masala,Red Chilli,None,Curd,Indian,193
Dahi Aloo Sabzi,Potato,Cilantro(Coriander leaves),None,None,None,Garam Masala,Cumin,Asafoetida,Turmeric,None,Curd,North Indian,169
Mooli Paratha,Radish,Cilantro(Coriander leaves),Ginger,Green chilli,Whole wheat flour(Atta),Red Chilli,Turmeric,Asafoetida,None,None,Ghee,Punjabi,120
Turnip Salad,Turnip,Onion,None,None,None,Parsley,Black Pepper,None,None,None,None,Continental,25
Cabbage Sabzi,Cabbage,Potato,Cilantro(Coriander leaves),None,None,Cumin,Asafoetida,Garam Masala,Turmeric,None,None,Indian,208
Cauliflower Sabzi,Cauliflower,Potato,Carrot,Peas,None,Turmeric,Red Chilli,Garam Masala,Coriander,None,None,Indian,64
Stuffed Capsicum Sabzi,Capsicum,Potato,Cilantro(Coriander leaves),None,None,Fennel seeds,Garam Masala,Red Chilli,Asafoetida,None,None,North Indian,195
Palak Aloo Sabzi,Spinach,Potato,Tomato,Ginger,None,Garam Masala,Garlic Cloves,Red Chilli,Turmeric,None,None,Indian,203
Lauki Sabzi,Bottle Gourd,Tomato,Cilantro(Coriander leaves),None,None,Turmeric,Asafoetida,Red Chilli,Garam Masala,None,Ghee,Indian,72
Palak Chane ki Dal,Spinach,Tomato,Ginger,Garlic,Chana dal,Turmeric,Red Chilli,Garam Masala,Coriander,None,None,Indian,141
Herb and garlic mashed potatoes,Potato,Garlic,None,None,None,Parsley,Dill,Black Pepper,None,None,Butter,American,155
Moong Dal Methi Sabzi,Fenugreek,Garlic,Onion,Green chilli,Moong dal,Turmeric,Cumin,None,None,None,None,Indian,71
Indian Chickpea Salad,Tomato,Cucumber,Cilantro(Coriander leaves),Mint,Chickpeas(Chhole),Onion,Black Pepper,None,None,None,Curd,Indian,167
Garlic Paneer,Garlic,None,None,None,Corn flour,Red Chilli,Black Pepper,Oregano,None,None,Paneer(Cottage cheese),North Indian,240
South Indian Bread Upma,Tomato,Capsicum,Ginger,Curry leaves,None,Turmeric,Red Chilli,Green Chilli,Mustard,Whole Wheat Bread,None,South Indian,211
Lemon Garlic Baked Grated Carrots,Carrot,Onion,Lemon juice,None,None,Black Pepper,Garlic Cloves,None,None,None,Butter,American,127
Vegan Carrot Hot Dogs,Carrot,Onion,Tomato,Garlic,None,Black Pepper,Paprika,None,None,Baguette,None,American,81
Scrambled Paneer,Tomato,Ginger,Cilantro(Coriander leaves),Garlic,None,Red Chilli,Garam Masala,Turmeric,Cumin,None,Paneer(Cottage cheese),Indian,370
Moong sprouts tikki,Onion,Ginger,Cilantro(Coriander leaves),Potato,Moong dal,Red Chilli,Garam Masala,None,None,None,None,Indian,31
Punjabi Green Moong Dal,Cilantro(Coriander leaves),Onion,Tomato,Ginger,Moong dal,Red Chilli,Garam Masala,Cumin,Turmeric,None,None,Punjabi,136
Sprouted Moong Dal Salad,Onion,Tomato,Cilantro(Coriander leaves),Lemon juice,Moong dal,Red Chilli,Green Chilli,None,None,None,None,Indian,99
Creamy Spinach Soup,Spinach,Onion,Garlic,Jalapenos,None,Black Pepper,None,None,None,None,Cheese,Continental,91
Lauki Soup,Bottle Gourd,Onion,Cilantro(Coriander leaves),Ginger,None,Black Pepper,Garlic Cloves,Green Chilli,None,None,None,Indian,37
Roasted Carrot Soup,Carrot,Ginger,None,None,None,Coriander,Garlic Cloves,Black Pepper,Garam Masala,None,Sour cream,Continental,235
Potato cakes with carrot and rice,Potato,Onion,Carrot,None,Rice,Parsley,None,None,None,None,None,Continental,54
Bombay Chutney(Side dish for Puri),Tomato,Ginger,Curry leaves,Garlic,Gram flour(Besan),Green Chilli,Onion,Mustard,Turmeric,None,None,Indian,333
British Mushy Peas,Peas,Mint,Lemon juice,None,None,Black Pepper,None,None,None,None,Butter,British,173
Portobello Mushroom Burger,Mushrooms,Tomato,Lettuce,Garlic,None,Onion,Black Pepper,Paprika,None,Bun,Cheese,American,204.5
Onion Bhaji,Onion,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Cumin,Coriander,Turmeric,Red Chilli,None,None,Maharashtrian,126.5
Onion Paratha,Onion,Green chilli,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Red Chilli,Garam Masala,None,None,None,Ghee,Punjabi,158
Vegan Zucchini Soup,Zucchini,Carrot,Celery,White Beans,None,Onion,Garlic Cloves,Thyme,Cayenne Peppers,None,None,American,106
Caprese Bites,Tomato,None,None,None,None,Basil,None,None,None,None,Cheese,Italian,148
Cabbage Paratha,Cabbage,Cilantro(Coriander leaves),Green chilli,Ginger,Whole wheat flour(Atta),Cumin,Coriander,Garam Masala,None,None,Ghee,Punjabi,114
Sindhi Onion Pickle,Onion,None,None,None,None,Turmeric,Red Chilli,Mustard,None,None,None,Sindhi,80
Coriander Mint Chutney,Cilantro(Coriander leaves),Mint,Ginger,Lemon juice,None,Cumin,Green Chilli,Garlic Cloves,None,None,None,Indian,8
Onion Tomato Chutney,Onion,Tomato,Ginger,Curry leaves,Urad dal,Red Chilli,Garlic Cloves,Asafoetida,Mustard,None,None,South Indian,31
Bhugi Bhaji,Potato,Brinjal,Peas,Ginger,None,Onion,Coriander,Red Chilli,Garam Masala,None,None,Sindhi,674
Besan Cheele,Fenugreek,Ginger,Green chilli,Garlic,Gram flour(Besan),Red Chilli,Turmeric,Coriander,None,None,Curd,North Indian,236
Gujarati Methi Muthiya,Fenugreek,Ginger,None,None,Gram flour(Besan),Red Chilli,Coriander,Cumin,Turmeric,None,Curd,Gujarati,37
Kothmir Wadi,Cilantro(Coriander leaves),Ginger,Green chilli,Lemon juice,Gram flour(Besan),Red Chilli,Turmeric,Sesame seeds,Garam Masala,None,None,Maharashtrian,44
Pennsylvania Dutch Pepper Cabbage,Cabbage,Carrot,Celery,None,None,Black Pepper,None,None,None,None,None,American,104
Bread Pizza Pocket,Carrot,Sweet corn,Olives,Capsicum,None,Garlic Cloves,Onion,None,None,White Bread,Cheese,Italian,216
Rajasthani Matar Ki Kachori,Peas,Cilantro(Coriander leaves),Green chilli,Ginger,White flour(Maida),Red Chilli,Garam Masala,Bay leaves,Fennel seeds,None,Ghee,Rajasthani,200
Oats Cheela,Tomato,Cilantro(Coriander leaves),Ginger,Mint,Oats,Turmeric,Red Chilli,Onion,Garam Masala,None,None,North Indian,249
Dahi Bhindi,Ladyfinger(Okra),Tomato,Onion,Garlic,Gram flour(Besan),Turmeric,Red Chilli,Garam Masala,Coriander,None,Curd,North Indian,43
Moong Dal Appam,Potato,Cilantro(Coriander leaves),Ginger,Onion,Moong dal,Turmeric,Red Chilli,Garam Masala,Coriander,None,None,South Indian,72
Paneer Bread Rolls,Onion,Garlic,Ginger,Cilantro(Coriander leaves),None,Green Chilli,Red Chilli,Garam Masala,None,White Bread,Paneer(Cottage cheese),Indian,197
Spinach Corn Momos,Spinach,Sweet corn,Garlic,Mint,White flour(Maida),Coriander,Red Chilli,Garam Masala,Green Chilli,None,Cheese,Indo Chinese,303
Batata Vada,Potato,Cilantro(Coriander leaves),Garlic,Green chilli,Gram flour(Besan),Turmeric,Red Chilli,Onion,Mustard,None,None,Maharashtrian,156
Middle Eastern Pickled Turnips,Turnip,Beetroot,None,None,None,Bay leaves,Garlic Cloves,None,None,None,None,Middle Eastern ,9
Besan Curry,Green chilli,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Asafoetida,Garam Masala,Turmeric,Red Chilli,None,Curd,Punjabi,151
Dal Palak,Spinach,Tomato,Ginger,Garlic,Moong dal,Garam Masala,Turmeric,Red Chilli,Onion,None,None,Indian,132
Roasted Broccoli Chickpea Salad,Broccoli,Olives,Cilantro(Coriander leaves),Lemon juice,Chickpeas(Chhole),Red Chilli,Black Pepper,Garlic Cloves,None,None,None,American,150
Baked Feta with Olives,Olives,Tomato,Garlic,None,None,Black Pepper,Parsley,Thyme,Oregano,White Bread,Cheese,Mediterranean,304
Creamy Celery Soup,Celery,Potato,Onion,Garlic,None,Black Pepper,Red Chilli,Dill,Parsley,None,Butter,American,242
Soyabean Curry,Soyabean,Garlic,Cilantro(Coriander leaves),None,None,Cumin,Red Chilli,Turmeric,Garam Masala,None,None,Indian,195
Soyabean Cutlets,Soyabean,Potato,Ginger,Garlic,None,Green Chilli,Onion,Coriander,Red Chilli,None,None,Indian,44
Okra Soup,Ladyfinger(Okra),Tomato,Onion,Garlic,Rice,Black Pepper,Red Chilli,Parsley,Thyme,None,Butter,African,201
Dhokla,Cilantro(Coriander leaves),Curry leaves,None,None,Gram flour(Besan),Red Chilli,Green Chilli,Mustard,None,None,Curd,Gujarati,81
Stuffed Mini Dosas,Potato,Capsicum,Onion,Ginger,Moong dal,Red Chilli,Green Chilli,Asafoetida,None,None,Butter,South Indian,132
Amritsari Kulcha,Cilantro(Coriander leaves),Potato,Green chilli,None,White flour(Maida),Garam Masala,Red Chilli,Coriander,None,None,Curd,Punjabi,210
Paneer Kofta,Mint,Onion,Green chilli,Ginger,Gram flour(Besan),Garam Masala,Red Chilli,Coriander,Turmeric,None,Paneer(Cottage cheese),Punjabi,208
Lauki Kofta,Bottle Gourd,Tomato,Ginger,Onion,Gram flour(Besan),Garam Masala,Coriander,Red Chilli,Turmeric,None,Butter,Uttar Pradesh,110
Corn pattice,Potato,Sweet corn,Capsicum,Cilantro(Coriander leaves),None,Black Pepper,Cumin,Sesame seeds,Garam Masala,None,None,Indian,79
Poha wada,Potato,Ginger,Onion,Green chilli,Rice,Black Pepper,Cumin,Green Chilli,Garam Masala,None,None,South Indian,74
Cabbage chanadal sabji,Cabbage,Ginger,Cilantro(Coriander leaves),Garlic,Chana dal,Red Chilli,Asafoetida,Mustard,Garam Masala,None,None,North Indian,159
Mughali Paratha,Carrot,Potato,Cabbage,Onion,Whole wheat flour(Atta),Cumin,Red Chilli,Garam Masala,Coriander,None,Paneer(Cottage cheese),Bengali,115
Garlic fried rice ,Capsicum,Carrot,Cabbage,Onion,Rice,Black Pepper,Cumin,Cloves,Cumin,None,None,Chinese,286
Oats dosa ,Green chilli,Onion,Cilantro(Coriander leaves),None,Oats,Red Chilli,Garam Masala,Asafoetida,None,None,Curd,South Indian,144
Cheese paratha,Garlic,Cilantro(Coriander leaves),None,None,Whole wheat flour(Atta),Black Pepper,Oregano,None,None,None,Cheese,Punjabi,166
Dahi bread roll ,Potato,Tomato,Capsicum,Carrot,None,Coriander,Garam Masala,Green Chilli,Garlic Cloves,Whole Wheat Bread,None,North Indian,160
Mughali Gobi masala,Cauliflower,Tomato,Garlic,Onion,None,Red Chilli,Turmeric,Coriander,Garam Masala,None,Sour cream,Mughlai,111
Rice carrot pancake ,Capsicum,Carrot,Potato,Onion,Rice,Red Chilli,Turmeric,Cumin,Garam Masala,None,Curd,Karnataka,93
Paneer jalfrezi,Tomato,Capsicum,Onion,Broccoli,None,Red Chilli,Turmeric,Garam Masala,Cumin,None,Paneer(Cottage cheese),Indian,268
