Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products)
Pumpkin Soup,Pumpkin,Onion,Garlic,None,None,Cumin,Red Chilli,None,None,None,None
Cheddar Broccoli Potato Soup,Broccoli,Potato,Carrot,Celery,White flour(Maida),Thyme,Onion,Garlic Cloves,None,None,Cheese
Lauki Chana Dal,Bottle Gourd,Tomato,Ginger,Coriander,Chana dal,Red Chilli,Onion,Garlic Cloves,Asafoetida,None,None
Spinach Stuffed Sweet Potatoes,Sweet potato,Spinach,None,None,None,Black Pepper,Garlic Cloves,None,None,None,None
Stuffed Portobello Mushrooms with Spinach and Feta,Mushrooms,Spinach,Garlic,None,None,Black Pepper,Garlic Cloves,None,None,None,Cheese
Lemon and Garlic Broccoli,Broccoli,Garlic,Lemon juice,None,None,None,None,None,None,None,None
Cabbage salad with corn,Cabbage,Cucumber,Sweet corn,None,None,Dill,Black Pepper,None,None,None,None
Aloo Oats Pattis,Potato,Fenugreek,Cilantro(Coriander leaves),None,Oats,Garam Masala,Red Chilli,None,None,None,None
Parmesan Zucchini and Corn,Zucchini,Sweet corn,Cilantro(Coriander leaves),Lemon juice,None,Black Pepper,Garlic Cloves,Oregano,Basil,None,Cheese
Chilli Roasted Zucchini,Zucchini,Garlic,None,None,None,Red Chilli,Black Pepper,None,None,None,None
Garlic Parmesan Roasted Sweet Potato,Sweet potato,Garlic,None,None,None,Thyme,None,None,None,None,Cheese
Lemon Coriander Soup,Cilantro(Coriander leaves),Lemon juice,Carrot,Ginger,None,Black Pepper,Garlic Cloves,Onion,Green Chilli,None,None
Roasted Red Pepper Cauliflower Soup,Cauliflower,Capsicum,Onion,None,None,Garlic Cloves,Black Pepper,Paprika,Thyme,None,None
Kadai Paneer,Tomato,Capsicum,Cilantro(Coriander leaves),Ginger,None,Onion,Garlic Cloves,Garam Masala,Red Chilli,None,Paneer(Cottage cheese)
Paneer Cutlet,Potato,Sweet corn,Coriander,Ginger,Gram flour(Besan),Red Chilli,Cumin,Onion,Garam Masala,None,Paneer(Cottage cheese)
Pan fried baby corn,Baby corn,Cilantro(Coriander leaves),Ginger,Garlic,Corn flour,Red Chilli,Turmeric,Cumin,None,None,Curd
Paneer Paratha,Cilantro(Coriander leaves),Green chilli,None,None,Whole wheat flour(Atta),Cumin,Red Chilli,Garam Masala,None,None,Paneer(Cottage cheese)
Methi Paratha,Fenugreek,Garlic,Ginger,None,Whole wheat flour(Atta),Red Chilli,Cumin,Oregano,None,None,None
Methi Sabzi,Fenugreek,Potato,Carrot,Lemon juice,None,Turmeric,Garam Masala,Red Chilli,Coriander,None,None
Cluster Beans(Gavar) Sabzi,Cluster Beans(Gavar),Potato,Carrot,Lemon juice,None,Turmeric,Garam Masala,Coriander,Red Chilli,None,None
Karela (Bitter Gourd) Sabzi,Bitter Gourd,Tomato,Ginger,Garlic,None,Turmeric,Garam Masala,Red Chilli,Coriander,None,None
Colocasia(Arbi) and Paneer Sabzi,Colocasia,Cilantro(Coriander leaves),Lemon juice,None,Gram flour(Besan),Turmeric,Garam Masala,Red Chilli,Coriander,None,Paneer(Cottage cheese)
Colocasia(Arbi) Curry,Colocasia,Tomato,Ginger,Garlic,None,Turmeric,Asafoetida,Garam Masala,Red Chilli,None,Curd
Dahi Aloo Sabzi,Potato,Cilantro(Coriander leaves),None,None,None,Garam Masala,Cumin,Asafoetida,Turmeric,None,Curd
Mooli Paratha,Radish,Cilantro(Coriander leaves),Ginger,Green chilli,Whole wheat flour(Atta),Red Chilli,Turmeric,Asafoetida,None,None,Ghee
Turnip Salad,Turnip,Onion,None,None,None,Parsley,Black Pepper,None,None,None,None
Cabbage Sabzi,Cabbage,Potato,Cilantro(Coriander leaves),None,None,Cumin,Asafoetida,Garam Masala,Turmeric,None,None
Cauliflower Sabzi,Cauliflower,Potato,Carrot,Peas,None,Turmeric,Red Chilli,Garam Masala,Coriander,None,None
Stuffed Capsicum Sabzi,Capsicum,Potato,Cilantro(Coriander leaves),None,None,Fennel seeds,Garam Masala,Red Chilli,Asafoetida,None,None
Palak Aloo Sabzi,Spinach,Potato,Tomato,Ginger,None,Garam Masala,Garlic Cloves,Red Chilli,Turmeric,None,None
Lauki Sabzi,Bottle Gourd,Tomato,Cilantro(Coriander leaves),None,None,Turmeric,Asafoetida,Red Chilli,Garam Masala,None,Ghee
Palak Chane ki Dal,Spinach,Tomato,Ginger,Garlic,Chana dal,Turmeric,Red Chilli,Garam Masala,Coriander,None,None
Herb and garlic mashed potatoes,Potato,Garlic,None,None,None,Parsley,Dill,Black Pepper,None,None,Butter
Moong Dal Methi Sabzi,Fenugreek,Garlic,Onion,Green chilli,Moong dal,Turmeric,Cumin,None,None,None,None
Indian Chickpea Salad,Tomato,Cucumber,Cilantro(Coriander leaves),Mint,Chickpeas(Chhole),Onion,Black Pepper,None,None,None,Curd
Garlic Paneer,Garlic,None,None,None,Corn flour,Red Chilli,Black Pepper,Oregano,None,None,Paneer(Cottage cheese)
South Indian Bread Upma,Tomato,Capsicum,Ginger,Curry leaves,None,Turmeric,Red Chilli,Green Chilli,Mustard,Whole Wheat Bread,None
Lemon Garlic Baked Grated Carrots,Carrot,Onion,Lemon juice,None,None,Black Pepper,Garlic Cloves,None,None,None,Butter
Vegan Carrot Hot Dogs,Carrot,Onion,Tomato,Garlic,None,Black Pepper,Paprika,None,None,Baguette,None
Scrambled Paneer,Tomato,Ginger,Cilantro(Coriander leaves),Garlic,None,Red Chilli,Garam Masala,Turmeric,Cumin,None,Paneer(Cottage cheese)
Moong sprouts tikki,Onion,Ginger,Cilantro(Coriander leaves),Potato,Moong dal,Red Chilli,Garam Masala,None,None,None,None
Punjabi Green Moong Dal,Cilantro(Coriander leaves),Onion,Tomato,Ginger,Moong dal,Red Chilli,Garam Masala,Cumin,Turmeric,None,None
Sprouted Moong Dal Salad,Onion,Tomato,Cilantro(Coriander leaves),Lemon juice,Moong dal,Red Chilli,Green Chilli,None,None,None,None
Creamy Spinach Soup,Spinach,Onion,Garlic,Jalapenos,None,Black Pepper,None,None,None,None,Cheese
Lauki Soup,Bottle Gourd,Onion,Cilantro(Coriander leaves),Ginger,None,Black Pepper,Garlic Cloves,Green Chilli,None,None,None
Roasted Carrot Soup,Carrot,Ginger,None,None,None,Coriander,Garlic Cloves,Black Pepper,Garam Masala,None,Sour cream
Potato cakes with carrot and rice,Potato,Onion,Carrot,None,Rice,Parsley,None,None,None,None,None
Bombay Chutney(Side dish for Puri),Tomato,Ginger,Curry leaves,Garlic,Gram flour(Besan),Green Chilli,Onion,Mustard,Turmeric,None,None
British Mushy Peas,Peas,Mint,Lemon juice,None,None,Black Pepper,None,None,None,None,Butter
Portobello Mushroom Burger,Mushrooms,Tomato,Lettuce,Garlic,None,Onion,Black Pepper,Paprika,None,Bun,Cheese
Onion Bhaji,Onion,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Cumin,Coriander,Turmeric,Red Chilli,None,None
Onion Paratha,Onion,Green chilli,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Red Chilli,Garam Masala,None,None,None,Ghee
Vegan Zucchini Soup,Zucchini,Carrot,Celery,White Beans,None,Onion,Garlic Cloves,Thyme,Cayenne Peppers,None,None
Caprese Bites,Tomato,None,None,None,None,Basil,None,None,None,None,Cheese
Cabbage Paratha,Cabbage,Cilantro(Coriander leaves),Green chilli,Ginger,Whole wheat flour(Atta),Cumin,Coriander,Garam Masala,None,None,Ghee
Sindhi Onion Pickle,Onion,None,None,None,None,Turmeric,Red Chilli,Mustard,None,None,None
Coriander Mint Chutney,Cilantro(Coriander leaves),Mint,Ginger,Lemon juice,None,Cumin,Green Chilli,Garlic Cloves,None,None,None
Onion Tomato Chutney,Onion,Tomato,Ginger,Curry leaves,Urad dal,Red Chilli,Garlic Cloves,Asafoetida,Mustard,None,None
Bhugi Bhaji,Potato,Brinjal,Peas,Ginger,None,Onion,Coriander,Red Chilli,Garam Masala,None,None
Besan Cheele,Fenugreek,Ginger,Green chilli,Garlic,Gram flour(Besan),Red Chilli,Turmeric,Coriander,None,None,Curd
Gujarati Methi Muthiya,Fenugreek,Ginger,None,None,Gram flour(Besan),Red Chilli,Coriander,Cumin,Turmeric,None,Curd
Kothmir Wadi,Cilantro(Coriander leaves),Ginger,Green chilli,Lemon juice,Gram flour(Besan),Red Chilli,Turmeric,Sesame seeds,Garam Masala,None,None
Pennsylvania Dutch Pepper Cabbage,Cabbage,Carrot,Celery,None,None,Black Pepper,None,None,None,None,None
Bread Pizza Pocket,Carrot,Sweet corn,Olives,Capsicum,None,Garlic Cloves,Onion,None,None,White Bread,Cheese
Rajasthani Matar Ki Kachori,Peas,Cilantro(Coriander leaves),Green chilli,Ginger,White flour(Maida),Red Chilli,Garam Masala,Bay leaves,Fennel seeds,None,Ghee
Oats Cheela,Tomato,Cilantro(Coriander leaves),Ginger,Mint,Oats,Turmeric,Red Chilli,Onion,Garam Masala,None,None
Dahi Bhindi,Ladyfinger(Okra),Tomato,Onion,Garlic,Gram flour(Besan),Turmeric,Red Chilli,Garam Masala,Coriander,None,Curd
Moong Dal Appam,Potato,Cilantro(Coriander leaves),Ginger,Onion,Moong dal,Turmeric,Red Chilli,Garam Masala,Coriander,None,None
Paneer Bread Rolls,Onion,Garlic,Ginger,Cilantro(Coriander leaves),None,Green Chilli,Red Chilli,Garam Masala,None,White Bread,Paneer(Cottage cheese)
Spinach Corn Momos,Spinach,Sweet corn,Garlic,Mint,White flour(Maida),Coriander,Red Chilli,Garam Masala,Green Chilli,None,Cheese
Batata Vada,Potato,Cilantro(Coriander leaves),Garlic,Green chilli,Gram flour(Besan),Turmeric,Red Chilli,Onion,Mustard,None,None
Middle Eastern Pickled Turnips,Turnip,Beetroot,None,None,None,Bay leaves,Garlic Cloves,None,None,None,None
Besan Curry,Green chilli,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Asafoetida,Garam Masala,Turmeric,Red Chilli,None,Curd
Dal Palak,Spinach,Tomato,Ginger,Garlic,Moong dal,Garam Masala,Turmeric,Red Chilli,Onion,None,None
Roasted Broccoli Chickpea Salad,Broccoli,Olives,Cilantro(Coriander leaves),Lemon juice,Chickpeas(Chhole),Red Chilli,Black Pepper,Garlic Cloves,None,None,None
Baked Feta with Olives,Olives,Tomato,Garlic,None,None,Black Pepper,Parsley,Thyme,Oregano,White Bread,Cheese
Creamy Celery Soup,Celery,Potato,Onion,Garlic,None,Black Pepper,Red Chilli,Dill,Parsley,None,Butter
Soyabean Curry,Soyabean,Garlic,Cilantro(Coriander leaves),None,None,Cumin,Red Chilli,Turmeric,Garam Masala,None,None
Soyabean Cutlets,Soyabean,Potato,Ginger,Garlic,None,Green Chilli,Onion,Coriander,Red Chilli,None,None
Okra Soup,Ladyfinger(Okra),Tomato,Onion,Garlic,Rice,Black Pepper,Red Chilli,Parsley,Thyme,None,Butter
Dhokla,Cilantro(Coriander leaves),Curry leaves,None,None,Gram flour(Besan),Red Chilli,Green Chilli,Mustard,None,None,Curd
Stuffed Mini Dosas,Potato,Capsicum,Onion,Ginger,Moong dal,Red Chilli,Green Chilli,Asafoetida,None,None,Butter
Amritsari Kulcha,Cilantro(Coriander leaves),Potato,Green chilli,None,White flour(Maida),Garam Masala,Red Chilli,Coriander,None,None,Curd
Paneer Kofta,Mint,Onion,Green chilli,Ginger,Gram flour(Besan),Garam Masala,Red Chilli,Coriander,Turmeric,None,Paneer(Cottage cheese)
Lauki Kofta,Bottle Gourd,Tomato,Ginger,Onion,Gram flour(Besan),Garam Masala,Coriander,Red Chilli,Turmeric,None,Butter
Corn pattice,Potato,Sweet corn,Capsicum,Cilantro(Coriander leaves),None,Black Pepper,Cumin,Sesame seeds,Garam Masala,None,None
Poha wada,Potato,Ginger,Onion,Green chilli,Rice,Black Pepper,Cumin,Green Chilli,Garam Masala,None,None
Cabbage chanadal sabji,Cabbage,Ginger,Cilantro(Coriander leaves),Garlic,Chana dal,Red Chilli,Asafoetida,Mustard,Garam Masala,None,None
Mughali Paratha,Carrot,Potato,Cabbage,Onion,Whole wheat flour(Atta),Cumin,Red Chilli,Garam Masala,Coriander,None,Paneer(Cottage cheese)
Garlic fried rice ,Capsicum,Carrot,Cabbage,Onion,Rice,Black Pepper,Cumin,Cloves,Cumin,None,None
Oats dosa ,Green chilli,Onion,Cilantro(Coriander leaves),None,Oats,Red Chilli,Garam Masala,Asafoetida,None,None,Curd
Cheese paratha,Garlic,Cilantro(Coriander leaves),None,None,Whole wheat flour(Atta),Black Pepper,Oregano,None,None,None,Cheese
Dahi bread roll ,Potato,Tomato,Capsicum,Carrot,None,Coriander,Garam Masala,Green Chilli,Garlic Cloves,Whole Wheat Bread,None
Mughali Gobi masala,Cauliflower,Tomato,Garlic,Onion,None,Red Chilli,Turmeric,Coriander,Garam Masala,None,Sour cream
Rice carrot pancake ,Capsicum,Carrot,Potato,Onion,Rice,Red Chilli,Turmeric,Cumin,Garam Masala,None,Curd
Paneer jalfrezi,Tomato,Capsicum,Onion,Broccoli,None,Red Chilli,Turmeric,Garam Masala,Cumin,None,Paneer(Cottage cheese)
Gujarati Khandvi,Ginger,Cilantro(Coriander leaves),Curry leaves,Lemon juice,Gram flour(Besan),Mustard,Turmeric,Green Chilli,None,None,Curd
Vaghareli Roti,Green chilli,Curry leaves,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Mustard,Turmeric,Asafoetida,Sesame seeds,None,Curd
Vaal Nu Shak,Soyabean,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Turmeric,Red Chilli,Asafoetida,Garam Masala,None,None
Kathiyawadi Dhokli Shaak,Onion,Spring Onion,Green chilli,Ginger,Gram flour(Besan),Red Chilli,Coriander,Turmeric,Cumin,None,Buttermilk
Bajri Methi Dhebra,Fenugreek,Green chilli,None,None,Bajra(Millet Flour),Red Chilli,Coriander,Turmeric,Sesame seeds,None,Curd
Spicy Bajra Roti,Onion,Curry leaves,Cilantro(Coriander leaves),None,Bajra(Millet Flour),Green Chilli,Sesame seeds,None,None,None,None
Baingan Methi,Brinjal,Fenugreek,Tomato,Ginger,None,Turmeric,Red Chilli,Mustard,Garlic Cloves,None,None
Stuffed Spinach Paratha,Spinach,Carrot,Ginger,None,Whole wheat flour(Atta),Coriander,Green Chilli,None,None,None,Paneer(Cottage cheese)
Methi Matar Malai,Fenugreek,Peas,Ginger,Cilantro(Coriander leaves),None,Garlic Cloves,Onion,Green Chilli,Cumin,None,Cream
Paneer Pudina Tikki,Mint,Green chilli,None,None,Corn flour,Garam Masala,None,None,None,None,Paneer(Cottage cheese)
Papad Potato Roll,Potato,Green chilli,Lemon juice,None,Whole wheat flour(Atta),Red Chilli,Garam Masala,Coriander,None,Papad,None
Moyettes (Mexican Style Open Bun),Cabbage,Tomato,Kidney beans(Rajma),Spring Onion,None,Red Chilli,Green Chilli,Coriander,Garlic Cloves,Bun,Cheese
Makki ka Dhokla,Sweet corn,Curry leaves,Ginger,Lemon juice,Corn flour,Turmeric,Mustard,Sesame seeds,None,None,Curd
Bajra Cauliflower Roti,Cauliflower,Cilantro(Coriander leaves),Spring Onion,Garlic,Bajra(Millet Flour),Ginger,Green Chilli,None,None,None,None
Creamed Cabbage with Onion,Cabbage,Onion,Garlic,Lemon juice,None,Black Pepper,None,None,None,None,Cream
Canadian Poutine,Potato,Garlic,None,None,White flour(Maida),Onion,Black Pepper,None,None,None,Cheese
Swedish potatoes with dill cream sauce,Potato,None,None,None,White flour(Maida),Dill,Black Pepper,Nutmeg,None,None,Cream
Norwegian Oatmeal Cookies,None,None,None,None,Oats,Vanilla,Cinnamon,Nutmeg,None,None,Butter
